"cve","mean_counts_7","mean_counts_30","mean_counts_100","mean_counts_14"
"CVE-2014-9734",1.0,4.3,2.55,2.642857142857143
"CVE-2015-0204",0.2857142857142857,0.0666666666666666,0.02,0.14285714285714285
"CVE-2015-1159",1.5714285714285714,2.933333333333333,1.33,2.857142857142857
"CVE-2015-1187",0.0,0.0,0.0,0.0
"CVE-2015-1579",0.0,0.0,0.0,0.0
"CVE-2015-1631",0.0,0.0,0.0,0.0
"CVE-2015-1635",10.428571428571429,51.266666666666666,16.23,103.14285714285714
"CVE-2015-2051",94.71428571428572,72.23333333333333,118.39,56.214285714285715
"CVE-2015-2208",0.8571428571428571,1.0,0.42,0.9285714285714286
"CVE-2015-2216",0.2857142857142857,2.466666666666667,1.25,1.7857142857142858
"CVE-2015-2794",3.142857142857143,5.4,2.53,5.357142857142857
"CVE-2015-2826",0.0,1.8333333333333333,0.71,1.0714285714285714
"CVE-2015-3337",9.428571428571429,42.4,12.72,20.642857142857142
"CVE-2015-4661",0.0,0.0,0.2,0.0
"CVE-2015-4666",12.571428571428571,13.933333333333334,7.39,13.785714285714286
"CVE-2015-4852",53.85714285714285,76.46666666666667,36.99,53.714285714285715
"CVE-2015-4870",0.2857142857142857,2.4,1.31,1.7142857142857142
"CVE-2015-6522",0.0,0.0666666666666666,0.02,0.14285714285714285
"CVE-2015-7297",18.142857142857142,10.733333333333333,3.22,15.857142857142858
"CVE-2015-7450",0.0,0.0,0.0,0.0
"CVE-2015-7547",16.714285714285715,19.366666666666667,5.81,24.571428571428573
"CVE-2015-8103",0.0,0.0,0.0,0.0
"CVE-2015-8562",0.0,0.0,0.0,0.0
"CVE-2016-0015",0.0,0.0,0.0,0.0
"CVE-2016-0174",0.2857142857142857,0.0666666666666666,0.02,0.14285714285714285
"CVE-2016-0785",0.0,0.0,0.0,0.0
"CVE-2016-0788",0.0,0.0,0.0,0.0
"CVE-2016-1000027",3.0,4.333333333333333,2.22,4.357142857142857
"CVE-2016-1000109",0.2857142857142857,1.9666666666666663,1.0,1.6428571428571428
"CVE-2016-10174",0.0,0.0,0.0,0.0
"CVE-2016-1287",6.571428571428571,5.133333333333334,1.54,6.285714285714286
"CVE-2016-1713",0.2857142857142857,0.0666666666666666,0.02,0.14285714285714285
"CVE-2016-20016",81.71428571428571,48.833333333333336,14.65,79.42857142857143
"CVE-2016-3081",0.2857142857142857,1.5,0.96,0.42857142857142855
"CVE-2016-3220",0.2857142857142857,0.1333333333333333,0.04,0.2857142857142857
"CVE-2016-3386",0.0,0.0666666666666666,0.02,0.14285714285714285
"CVE-2016-3427",0.0,0.0,0.0,0.0
"CVE-2016-3642",0.0,0.0,0.0,0.0
"CVE-2016-3976",0.4285714285714285,1.8666666666666667,0.98,1.5714285714285714
"CVE-2016-4372",0.0,0.0,0.0,0.0
"CVE-2016-4438",10.571428571428571,11.733333333333333,5.53,11.642857142857142
"CVE-2016-4510",0.0,0.0,0.0,0.0
"CVE-2016-4532",0.0,0.0,0.0,0.0
"CVE-2016-4800",0.0,0.0,0.0,0.0
"CVE-2016-5229",0.0,0.0,0.0,0.0
"CVE-2016-5385",57.85714285714285,46.36666666666667,13.91,46.285714285714285
"CVE-2016-6277",0.0,0.5666666666666667,0.35,0.2857142857142857
"CVE-2016-6415",17.428571428571427,14.166666666666666,4.25,20.142857142857142
"CVE-2016-6816",0.0,3.733333333333333,1.12,0.0
"CVE-2016-7168",0.0,0.1,0.03,0.14285714285714285
"CVE-2016-8744",0.0,0.0,0.0,0.0
"CVE-2016-8749",0.0,0.0,0.0,0.0
"CVE-2016-9244",0.0,0.0,0.0,0.0
"CVE-2016-9299",0.0,0.0,0.0,0.0
"CVE-2016-9606",0.0,0.0,0.0,0.0
"CVE-2017-100035",0.0,0.0,0.0,0.0
"CVE-2017-1000353",0.0,0.0,0.0,0.0
"CVE-2017-1000486",20.714285714285715,22.133333333333333,10.88,22.0
"CVE-2017-10271",0.8571428571428571,5.2,2.76,2.142857142857143
"CVE-2017-11165",0.2857142857142857,1.0333333333333334,0.68,0.35714285714285715
"CVE-2017-11610",0.2857142857142857,1.0,0.71,0.2857142857142857
"CVE-2017-12149",1.0,3.566666666666667,2.17,2.357142857142857
"CVE-2017-12542",0.2857142857142857,1.3333333333333333,0.93,0.42857142857142855
"CVE-2017-12544",0.0,0.0666666666666666,0.02,0.14285714285714285
"CVE-2017-12611",7.714285714285714,83.03333333333333,26.13,12.642857142857142
"CVE-2017-12615",0.0,0.0666666666666666,0.02,0.0
"CVE-2017-12617",10.571428571428571,24.73333333333333,7.92,15.071428571428571
"CVE-2017-12629",0.0,0.5666666666666667,0.17,0.0
"CVE-2017-12635",10.142857142857142,14.9,4.57,13.714285714285714
"CVE-2017-12637",0.0,0.0,0.0,0.0
"CVE-2017-12932",0.0,0.0,0.0,0.0
"CVE-2017-14186",0.0,0.0,0.0,0.0
"CVE-2017-15095",0.0,0.0,0.0,0.0
"CVE-2017-15944",3.2857142857142856,8.233333333333333,2.96,6.642857142857143
"CVE-2017-17411",0.1428571428571428,0.0333333333333333,0.77,0.07142857142857142
"CVE-2017-17562",1.7142857142857142,3.3,1.65,3.2857142857142856
"CVE-2017-17576",0.0,0.2666666666666666,0.16,0.07142857142857142
"CVE-2017-2608",0.0,0.0,0.0,0.0
"CVE-2017-2964",0.0,0.0666666666666666,0.02,0.14285714285714285
"CVE-2017-3066",0.0,0.0666666666666666,0.02,0.0
"CVE-2017-3159",0.0,0.0,0.0,0.0
"CVE-2017-5487",0.7142857142857143,4.766666666666667,2.09,2.357142857142857
"CVE-2017-5521",0.1428571428571428,1.0,0.65,0.21428571428571427
"CVE-2017-5586",0.0,0.0,0.0,0.0
"CVE-2017-5638",94.0,124.13333333333334,40.97,111.14285714285714
"CVE-2017-5878",0.0,0.0,0.0,0.0
"CVE-2017-6090",0.2857142857142857,1.0333333333333334,0.72,0.21428571428571427
"CVE-2017-6190",0.1428571428571428,0.8,0.57,0.2857142857142857
"CVE-2017-7504",0.0,0.0,0.0,0.0
"CVE-2017-7525",0.0,0.0,0.0,0.0
"CVE-2017-7577",164.71428571428572,57.1,17.16,82.35714285714286
"CVE-2017-8046",0.0,0.0,0.0,0.0
"CVE-2017-8220",0.0,0.0,0.0,0.0
"CVE-2017-8917",8.571428571428571,14.3,5.36,12.357142857142858
"CVE-2017-9248",0.5714285714285714,0.8666666666666667,0.33,0.5
"CVE-2017-9424",0.0,0.0,0.0,0.0
"CVE-2017-9788",0.0,0.0,0.0,0.0
"CVE-2017-9791",62.57142857142857,57.16666666666666,17.15,71.0
"CVE-2017-9805",175.0,138.23333333333332,47.68,157.14285714285714
"CVE-2017-9822",0.0,0.0,0.0,0.0
"CVE-2017-9841",4232.428571428572,2429.4333333333334,985.87,3405.0714285714284
"CVE-2018-0296",2.2857142857142856,2.833333333333333,1.27,2.2857142857142856
"CVE-2018-1000115",135.14285714285714,129.13333333333333,64.96,129.92857142857142
"CVE-2018-1000130",0.0,0.0,0.0,0.0
"CVE-2018-100086",9.571428571428571,18.933333333333334,5.68,14.642857142857142
"CVE-2018-1000861",0.1428571428571428,0.0333333333333333,0.01,0.07142857142857142
"CVE-2018-10095",0.0,0.0,0.0,0.0
"CVE-2018-10561",917.0,648.6333333333333,221.09,872.6428571428571
"CVE-2018-10562",32.0,38.1,26.17,32.857142857142854
"CVE-2018-10658",0.0,1.2333333333333334,0.45,0.7857142857142857
"CVE-2018-10823",16.714285714285715,19.9,9.41,18.0
"CVE-2018-1144",0.0,0.0,0.0,0.0
"CVE-2018-11776",1059.2857142857142,1991.8666666666663,603.55,2108.0
"CVE-2018-1216",0.0,0.8666666666666667,0.31,0.42857142857142855
"CVE-2018-12254",0.0,0.2333333333333333,0.19,0.0
